objectid,parentid,filename,title,creator,date,description,subject,ingredients,object_transcript,source,identifier,type,format,cook_time,cook_temp,display_template,rights,object_location
recipe_002,,7_Minute_Frosting.png,7-Minute Frosting,"Glaspey, Gladys",08/21/1939,"A recipe for frosting typed in pica 10 typeface on a white notecard, with handwritten notes and substitutions in pencil. There are stains and fading altering the text.",Ice Cream/Toppings,sugar<br> egg whites<br> water<br> vanilla,"7-Minute Frosting<br> 1 cup sugar<br> 2 egg whites<br> 3 tablespoons cold water<br> 1/2 teaspoon vanilla<br> Put in doublle boiler and beat with egg beater until it stands in a peak<br> 1/2 teaspoonful vanilla<br> Gladys Glaspey, Iowa City, Iowa<br> Aug. 21, 1939<br> 1/2 of recipe:<br> 1/2 cup of sugar<br> 1 egg white<br> 1 1/2 tbsps of c. water<br> vanilla",,typed; typewriter; handwritten notes,image,image/png,,,image,,/objects/7_Minute_Frosting.png
recipe_003,,A_Merry_Christmas.png,A Merry Christmas,,,"Found ephemera in the recipe box, a Christmas card. There is a picture shaped like a bell of a dog named ""Cobber,"" and signed by a Philip W. Merry Christmas written in red and green alternating text.",Other,,"A Merry Chistmas<br> ""Cobber""<br> Philip W.",,found ephemera,image,image/png,,,image,,/objects/A_Merry_Christmas.png
recipe_004,,Annas_Cinnamon_Buns.png,Anna's Cinnamon Buns,Ella,11/12/1938,A recipe for Cinnamon Buns written in cursive with a pencil on a piece of white scrap paper,Breads/Buns/Muffins,milk<br> yeast cakes<br> Crisco<br> salt<br> sugar<br> butter<br> brown sugar<br> cinnamon<br> raisins,"Mattack<br> Anna's Cinnamon Buns<br> 1 jet milk<br> 2 yeast cakes<br> Teaspoon Crisco, salt, little sugar<br> let raise<br> Use 1/4 butter to one bun<br> 1/2 lb sugar Brown<br> Sprinkle Cinnamon<br> raisins<br> Ella Nov 12 - 1938",Anna Mattack,handwritten; scrap paper,image,image/png,,,image,,/objects/Annas_Cinnamon_Buns.png
recipe_005,,,Apple Crisp - Betty Crocker,,,"A recipe for Apple Crisp written in cursive black ink. The paper is a white notecard, one side lined.",Fruits/Pies/Puddings,apples<br> flour<br> baking powder<br> salt<br> egg<br> shortening<br> cinnamon<br> cream,"BETTY CROCKER APPLE CRISP<br> Place in greased 6x10' baking dish 5 to 6 cups sliced pared or unpared apples (about 6 tart firm apples)<br> Mix together with fork until crumbly and sprinkle over the apples:<br> 1 cup flour<br> 1/2 to 1 cup sugar, depending on the tartness of apples.<br> 1 teaspoon baking powder<br> 3/4 teaspoon salt<br> unbeaten egg<br> Pour over all 1/3 cup melted and cooled shortening<br> Sprinkle with 1/2 tsp. cinnamon<br> bake 30 - 40 minutes in a moderate over (350°)<br> Serve warm with cream - 8 servings","General Mills, Inc.; Betty Crocker",handwritten; notecard,record,multiple,0:30:00,350,record,,
recipe_006,recipe_005,Apple_Crisp_Betty_Crocker.png,recipe card front,,,recipe card front,,,,,,image,image/png,,,image,,/objects/Apple_Crisp_Betty_Crocker.png
recipe_007,recipe_005,Apple_Crisp_Betty_Crocker_B.png,recipe card back,,,recipe card back,,,,,,image,image/png,,,image,,/objects/Apple_Crisp_Betty_Crocker_B.png
recipe_008,,,Apple Pie - Betty Crocker,,,"Promotional recipes for Betty Crocker, printed in blue and black ink on white cardstock. On the back there is an advertisement for Crustquick",Fruits/Pies/Puddings,apples<br> sugar<br> nutmeg<br> butter<br> Crustquick or other crust,"Apple Pie<br> Make Pastry of 9-in. 2-crust Pie<br> Mix well 6 to 7 cups thinly sliced, tart juicy apples (peeled, quartered, cored)<br> with mixture of 3/4 to 1 cup sugar (depending on tartness of apples)<br> 1 tsp. cinnamon or nutmeg<br> Fill pastry-lined pie plate<br> Dot with 1 tbsp. butter<br> Adjust top crust. To seal, see directions for Two-Crust Pies on Crustquick package. Bake 50 to 60 minutes in hot oven (425) until crust is nicely browned and apples cooked through (test with fork). Serve warm.<br> Dutch Apple Pie: 5 minutes before baking time is up, remove pie from oven. Pour 1/2 cup heavy cream through slits in top crust. Return to oven and continue baking.<br> ""Mince"" Apple Pie: Mix with sugar 1 tsp. cinnamon, 1/2 tsp. cloves, 1/4 tsp. mace, 1/8 tsp. salt, 1/2 cup raisins, 1 tsp. molasses.<br> Streusel Apple Pie: In place of top crust, sprinkle over sweetened apples a mixture of 1/2 pkg. Crustquick (about 1 cup), 1/3 cup brown dugar, 1/2 tsp. cinnamon. Bake as for Apple Pie.<br> over<br> Now make pie crust like Betty Crocker's<br> easy with Crustquick!<br> Our new pie crust mix is based on the pastry method perfected by Betty Crocker and her General MIlls staff though years of food experience. Crustquick gives you Betty Crocker's pie crust in a package. Just add water.<br> For all your pies! Makes crisp, tender, flaky crust every time. Gold Medal Enriched Flour is used in Crustquick. Also shortening especially good for pastry. Try Crustquick now.<br> General Mills<br> See other side for delicious pie filling recipes<br> ""Betty Crocker"" is a trade name of General Mills, Inc.","General Mills, Inc.; Betty Crocker",clipping; promotional material; printed ink; ephemera,record,multiple,0:50:00,425,record,"General Mills, Inc. holds the copyright. Recipe is available for personal use but not widespread publication.",
recipe_009,recipe_008,Apple_Pie_Betty_Crocker.png,recipe front,,,recipe front,,,,,,image,image/png,,,image,,/objects/Apple_Pie_Betty_Crocker.png
recipe_010,recipe_008,Apple_Pie_Betty_Crocker_B.png,recipe back,,,recipe back,,,,,,image,image/png,,,image,,/objects/Apple_Pie_Betty_Crocker_B.png
recipe_011,,Apple_Pudding_Cake.png,Apple Pudding Cake,,,A recipe for Apple Pudding Cake written in cursive black ink on a white lined notecard. There are stains and fading altering the text.,Fruits/Pies/Puddings,flour<br> sugar<br> butter<br> apples<br> egg<br> soda<br> cinnamon<br> nutmeg<br> english walnuts<br> salt,Apple Pudding Cake<br> 1 cup flour<br> 1 cup sugar<br> 1/4 cup melted butter<br> 2 cup diced apples - juicy - unpeeled<br> 1 beaten egg - may use 2 (1/2 cups)<br> 1 teaspoon soda<br> 1/4 cup cinnamon<br> 1/4 cup nutmeg<br> 1/2 cup of nuts - English Walnuts<br> 1/4 teaspoon salt<br> Mix dry ingredients together,,handwritten; notecard,image,image/png,,,image,,/objects/Apple_Pudding_Cake.png
